"","GSM416798","GSM416799","GSM416800","GSM416801","GSM416802","GSM416803","GSM416804","GSM416805","GSM416806","GSM416807","GSM416808","GSM416809","GSM416810","GSM416811","GSM416812","GSM416813","GSM416814","GSM416815","GSM416816","GSM416817","GSM416818","GSM416819","GSM416820","GSM416821","GSM416822","GSM416823","GSM416824","GSM416825","GSM416826","GSM416827","GSM416828","GSM416829","GSM416830","GSM416831","GSM416832","GSM416833","GSM416834","GSM416835","GSM416836","GSM416837","GSM416838","GSM416839","GSM416840","GSM416841","GSM416842","GSM416843","GSM416844","GSM416845","GSM416846","GSM416847","GSM416848","GSM416849","GSM416850","GSM416851","GSM416852","GSM416853","GSM416854","GSM416855","GSM416856","GSM416857","GSM416858","GSM416859","GSM416860","GSM416861","GSM416862","GSM416863","GSM416864","GSM416865"
"SELE",21.52614132,13.34754295,16.05826536,20.25888505,15.17222964,14.5315652,18.35555723,13.29520898,15.67432493,13.83287036,16.04820218,16.49802188,13.51668759,15.60274831,19.76250574,19.92765826,12.87129689,13.85109013,15.4737586,16.93336556,17.19682764,12.72018501,17.55491044,15.7931271,17.16613187,15.1799423,14.71910932,14.2856803,14.56814986,13.04420504,14.33192863,14.11020166,13.80372928,24.2317336,15.02726226,14.08511033,16.51928286,41.08006211,15.88457681,14.17725551,15.96238058,20.84546652,17.08291944,15.5746165,17.06964992,12.99027496,16.59342418,16.86826576,12.06882753,15.7286434,58.24797884,14.05682896,17.6980243,14.64160944,15.04567591,15.14562512,13.93441697,14.57043482,21.45356576,14.96252595,15.74405419,18.7183365,21.25520142,12.68490458,12.40090756,14.20553379,22.40816613,15.45628206
"SOCS3",395.7369556,31.13658842,44.58066446,51.46622371,124.0472236,52.16675921,127.5697513,112.5444991,52.40076965,76.06453739,63.01436526,49.98203169,40.41950871,44.71679222,85.54953044,87.55111251,51.92648683,86.36364474,36.61576163,115.1044663,78.31061179,59.14831368,188.0480386,35.30161968,39.53859185,151.729349,73.26407005,22.88818911,41.31786237,44.81130821,84.88128067,36.41744948,73.68223974,472.7994149,47.15275348,37.81132781,81.84294753,201.2909049,65.80578238,41.16296114,58.55522692,491.1390673,85.34478246,90.19732887,61.19683435,63.62431717,94.16741566,92.09860537,29.73028263,52.54045903,271.3558691,94.23559103,39.25344568,43.38166915,46.48176377,43.48742758,59.48472599,89.44268219,98.50606292,281.1182823,38.72645941,105.3364644,37.06335304,114.6372263,50.37998047,60.85945017,93.44950825,138.0422376
"CCN2",1809.021384,2176.513181,4131.042404,4044.394924,4025.636829,3263.119529,3538.470667,4161.77478,4616.508498,3933.797274,11456.39376,1854.996903,5244.661999,409.772031,5633.080797,2087.128112,9603.889313,2190.190685,4311.021104,2647.170185,2550.715843,4010.427538,3270.236443,5149.130813,8127.062727,6301.936628,3730.559117,10138.95463,5837.165449,532.7280087,2035.751503,2391.11253,7575.553808,2571.006995,2323.032391,7066.700258,1224.760893,4773.947646,5662.151271,10177.27758,2445.239582,2243.639245,528.1934031,6317.652781,444.5752631,3805.307031,5750.894433,2081.722287,7006.150815,456.4296067,10384.9475,8619.87511,3709.781161,3749.426057,736.8177216,8857.680634,1008.479651,3510.876071,6324.876638,4004.330035,1765.325925,5807.390778,3760.386342,8358.194619,8140.911195,10575.32029,3061.032714,10409.02159
"FGF7",10.26437908,8.928435074,8.82604888,10.48361552,8.807767956,9.112232179,8.826449637,10.57641754,9.238787383,9.173017262,55.68879685,8.167636661,8.400352688,9.791667397,12.31444161,11.26870566,10.14875921,8.921291736,8.977315489,8.897496316,8.933852629,9.159394715,9.440729063,9.824198773,20.01211187,9.032532672,10.18881404,9.097931557,8.451454541,10.09990577,8.601335344,9.723218799,10.37816924,9.40561014,8.954029367,33.65180284,8.567065592,10.24304817,15.25800989,10.9146834,9.081062327,8.849089571,9.662410135,8.630682918,8.714582002,9.782024921,15.43149909,9.101808309,9.343470667,8.643736178,11.38332057,10.78711418,8.925288131,10.71687111,8.38842466,12.71534403,8.859905567,8.880889151,12.93394502,9.482517872,9.586108826,8.340493537,8.230262983,13.64084304,9.315550773,15.83057166,9.314230033,12.37347173
"B2M",9528.724577,11631.89782,11663.9122,8827.926463,7360.829365,10152.78875,10382.36163,9604.849431,9368.043989,8101.354232,10277.65377,8399.864267,10098.35678,8145.355948,9949.780058,9924.25315,11055.45983,9649.75155,12373.57717,10133.22776,10054.51216,10070.52847,10726.7458,10621.42295,8990.454887,11767.74718,9569.675162,9920.808972,8466.143122,9383.264155,10874.06881,11743.01431,10313.7767,8700.128163,10343.79743,10296.50373,10818.17188,12477.43836,10149.20165,10289.32922,11086.13976,9075.883766,8775.387099,9253.965726,7451.144611,10346.91468,9131.92818,10006.39661,10766.92042,11582.22073,9955.326592,9442.588836,10078.11387,12105.03759,12618.20637,11235.4517,7552.104789,5863.077029,10203.49142,9480.866153,7742.009748,13173.25014,7055.582909,8979.075553,9892.950957,10309.4717,9744.786989,10240.21668
"EGR1",239.6920415,69.21020616,83.25635089,326.8978626,215.2335869,403.6006467,285.5996375,314.9241775,269.0469606,567.0437073,670.7589003,62.81199793,90.32954124,52.53667928,470.8411316,139.0870161,199.0841236,117.8473518,348.6786611,921.9076572,239.5586738,58.80997104,316.2741265,140.2997284,429.5895881,1143.515408,287.7603017,355.175328,217.6023208,39.40042705,53.20606458,76.80519248,463.0127273,804.3669641,52.54929161,88.35447108,139.6007295,387.8356593,352.9238543,30.40013208,477.6947333,2281.400036,151.1345498,925.0471497,62.67805239,197.1738415,239.3437995,72.49564915,58.61773186,42.57580672,633.9022272,135.9385519,59.09347378,28.90987241,56.98623293,190.5426641,196.1595192,88.11152852,563.5806319,45.04492068,97.00392969,2127.325711,352.3273016,116.1864826,76.97567745,99.63020213,319.274034,620.9665634
"EDN1",38.1705044,26.77531151,28.46375543,35.08607686,28.00712019,29.78819121,20.96963422,27.20052878,36.30961996,30.95164635,30.81513875,31.11572164,26.447976,37.8798149,33.6852136,35.75041324,31.80915172,30.38375806,28.44415597,26.7100289,34.059789,43.88133532,29.92005846,33.54216128,31.52579814,29.83034238,31.97279551,30.87260884,48.37931127,23.42584471,29.35390997,28.27427798,41.25967653,30.10539137,31.3806742,37.6641695,32.24851546,34.5800784,30.30826078,22.81081469,34.50886509,27.75199015,23.12127705,25.45620359,26.5954653,24.1113695,27.9259271,34.91576661,31.20819761,39.99230604,33.87055161,31.39749387,41.58768474,30.48796663,32.97691275,39.19977896,28.74752304,35.69452361,29.31209167,34.67584543,21.13076275,30.80660119,24.80216466,24.2928262,32.37254356,28.76596542,26.85890924,31.64202232
"TGFBR2",68.50812979,138.5868108,92.66965507,144.704569,28.68592466,115.4153831,72.24942538,109.3151462,64.74704952,78.65544801,282.2923615,45.91834286,56.91842404,75.21695709,132.1885659,100.7794548,117.3781364,94.75720523,74.6851457,66.79536813,46.30810406,74.70098056,93.83192636,105.4834533,56.52219731,143.8850794,105.7138707,76.290027,86.61501415,53.40681806,87.3936332,102.2814852,96.87781123,45.42636178,116.8391821,66.63475653,52.84892665,124.7312966,51.84193189,108.9608663,44.85400549,85.38376355,101.2381788,102.4502183,158.1945307,76.07671462,80.55789458,100.897886,113.7324932,98.34640031,133.0428139,60.17677428,122.9389523,81.50815494,132.1550209,107.3682585,104.6427842,459.2131619,119.9122672,57.58620769,134.6046111,23.145873,86.1116603,121.9653124,88.63585719,239.5941683,56.52893599,93.95491055
"NOTCH1",68.3136857,157.677681,76.88938204,97.13556034,55.520877,53.14024145,64.64256175,88.51297401,74.4194948,62.29449819,60.22901752,51.65880712,42.9441738,46.85076547,48.87507435,59.8768691,63.29432564,59.74164036,48.57831903,51.57104718,53.64754512,48.92148842,89.41501715,59.85102813,42.66852502,115.5027908,43.12210733,38.73556624,59.91910598,65.69879175,51.25666762,58.52136621,69.57113298,92.87197691,43.99650977,58.08057343,46.71006376,78.00412273,43.47284338,66.41240904,95.85932992,82.0089878,121.1415997,105.8213747,145.4534956,113.0093556,58.94406298,78.77486712,36.44067086,49.6499438,66.00798804,59.71081562,77.164847,72.23908802,61.19358057,70.52640217,47.34771668,67.63620155,46.83866122,34.1719595,100.6253814,222.1020687,86.93939048,82.87349199,92.88603191,67.49003952,57.30496323,59.22708245
"PDGFRA",20.53293754,15.56799564,16.9863473,16.77263381,16.8181783,15.69523914,17.41698292,17.48847704,19.74406026,14.04942253,16.14257317,19.76126112,19.39342631,18.50601408,16.36137841,18.1687695,14.55183965,16.50114681,15.100559,14.81028968,15.1479285,21.31865954,16.38232707,16.3778124,14.26284554,14.68182663,15.171426,15.46151634,16.2018088,15.07124208,15.86840446,15.12898575,17.1327944,18.06967712,14.3691476,15.57030816,17.66040445,15.50217333,16.72850461,14.49938925,17.76600097,18.4039021,14.73087201,13.27899557,13.61681919,13.84131741,17.15109262,14.06291205,17.92622113,17.49885425,16.9277777,17.26656862,18.92692285,16.06494034,15.41387249,14.53859738,17.48609439,18.32662482,15.44353608,16.46408388,12.76709544,19.72597709,12.70426602,15.18996308,17.71062797,15.70423558,16.22854782,18.82471237
