"","GSM416798","GSM416799","GSM416800","GSM416801","GSM416802","GSM416803","GSM416804","GSM416805","GSM416806","GSM416807","GSM416808","GSM416809","GSM416810","GSM416811","GSM416812","GSM416813","GSM416814","GSM416815","GSM416816","GSM416817","GSM416818","GSM416819","GSM416820","GSM416821","GSM416822","GSM416823","GSM416824","GSM416825","GSM416826","GSM416827","GSM416828","GSM416829","GSM416830","GSM416831","GSM416832","GSM416833","GSM416834","GSM416835","GSM416836","GSM416837","GSM416838","GSM416839","GSM416840","GSM416841","GSM416842","GSM416843","GSM416844","GSM416845","GSM416846","GSM416847","GSM416848","GSM416849","GSM416850","GSM416851","GSM416852","GSM416853","GSM416854","GSM416855","GSM416856","GSM416857","GSM416858","GSM416859","GSM416860","GSM416861","GSM416862","GSM416863","GSM416864","GSM416865"
"APOE",3112.018531,1748.022229,8301.386986,326.8257562,2445.350065,6125.001016,2991.263007,5118.633687,5226.907469,4799.60254,4230.634694,5887.588195,4223.416664,4631.781193,1727.348872,5057.661525,3485.544901,6018.617322,6342.764996,6761.570645,5908.708573,3956.699894,8570.94828,5552.673878,3156.754392,6458.003796,3227.962435,5424.793657,7927.659399,3879.385947,4143.536388,7466.06428,5794.11277,9342.341985,6384.329847,3336.018339,7979.550706,3587.6205,4708.147493,2768.200429,8415.439616,5718.047003,4522.892766,7242.298301,2961.804712,8428.105903,3477.897692,8509.283864,2720.545805,6880.563774,3835.503178,5334.837053,4897.93391,3031.928543,2523.705659,4843.292651,12855.12953,495.3627402,4577.852098,2603.82786,8132.909807,1367.092191,6146.289937,6775.755531,6327.317056,1414.764318,6690.419582,4014.793944
"BMP4",2241.82671,153.7856816,974.1973608,650.515222,2022.483654,1275.122982,739.7095534,1461.170007,736.4770397,1222.844862,2341.885666,2941.421806,1961.292676,800.7267502,700.4861201,329.5827615,1960.275635,2270.466546,2250.845275,607.1344626,1489.635658,2624.322518,753.9817886,955.2230885,1943.19304,633.9620094,696.0471364,1246.274004,1383.066166,936.9518155,439.6487826,1116.494972,2575.274193,1623.331669,3250.266435,2224.860919,1948.667383,723.1788593,798.7644103,1763.803367,2403.606374,3364.895429,367.4657616,1492.154586,105.386976,2353.629861,1889.697762,199.3258992,1400.504529,1193.060895,585.1876528,1175.294244,3088.280604,2100.575979,611.2847172,873.3694303,847.6253755,2590.503558,1439.255228,685.7394332,1949.650211,294.819875,2139.590474,961.3729563,1359.597151,3403.681815,1268.215811,1151.032667
"CBS",176.507434,50.7535889,171.8565058,46.23137328,100.8200177,121.5527226,111.4087277,122.0057879,166.9171156,154.5285659,235.8240807,321.2903516,195.3198439,399.3652137,190.1668452,281.008091,124.5764048,114.048518,136.8052196,95.23484316,132.622473,167.4953826,98.22636421,228.4609767,176.6165251,71.94649665,529.347372,199.1565736,196.1944279,83.54541383,153.654826,152.11453,204.9728597,143.9882999,130.9204207,125.0212538,301.6296815,67.9801984,346.4387492,245.7973106,311.4739055,116.8602707,205.0680023,150.2093683,239.9786509,82.53014097,183.9510988,330.5217252,143.6691403,101.8224514,126.281334,190.4403082,138.5579998,88.96473526,75.99582279,85.40926122,99.18360129,380.415158,155.5640834,99.97052825,517.7422966,209.1700354,313.5720635,294.2228368,261.6618216,198.5966785,234.0293602,229.0883674
"CCND1",1656.166787,2304.920891,1418.673003,1554.307646,7577.430703,518.5774182,3625.522605,2291.67715,2297.906443,1672.525071,333.0023589,2686.728784,1439.27279,2341.340822,230.7113054,756.8520811,1641.677823,3407.358249,774.5537593,2036.39938,2235.709001,1266.022156,4213.2113,578.6737381,1057.910552,1740.94798,1002.744346,1098.855314,1385.65385,2868.657252,2110.388955,3799.677857,993.442462,1870.232248,1726.25697,577.0459003,1096.824546,243.6215311,894.9676762,735.8888813,1094.605755,916.5018122,853.1817759,2462.661351,3125.02378,1785.909119,3030.153537,912.227567,575.3754131,1760.211003,182.7057444,343.7734614,767.4396326,1740.596811,3365.162883,1414.530281,3917.063352,1050.691934,619.4399274,1385.794909,416.0952682,1181.074371,1994.691232,190.4183317,2526.188338,761.6300405,1709.810209,1009.008345
"CDH1",252.9661631,53.76936153,382.7225945,337.4524475,100.3701435,342.3102491,798.8382557,326.4546659,416.1730639,618.3378013,163.5369239,825.35144,177.4838306,558.8494391,99.28141884,212.2273294,266.3158864,604.4998515,285.2960285,214.1982841,65.92465655,142.0314463,420.5986113,270.2860047,169.7468178,355.4358023,221.8739499,180.3130739,541.3238789,1307.508451,273.7519331,430.2240978,413.26841,396.4812298,282.0242865,101.554862,264.441085,166.833637,73.90153947,145.0929452,219.0929342,325.5242741,147.2801103,500.949737,176.1974169,567.576581,348.2573127,213.7735381,186.2845404,356.5393319,117.545862,211.6204142,284.089989,226.1132368,1347.553433,64.4457862,1135.705885,203.4646359,156.6088319,377.574314,182.8431727,14.59087076,262.9123146,194.2823965,91.42409265,144.1316512,502.1981272,55.18502767
"CDH3",429.2041127,90.82198664,72.69385167,73.0225272,73.24305651,147.7565418,138.2115897,250.9465648,345.469544,520.5986852,231.4639566,110.6983634,400.1394825,133.4866328,187.1042093,327.7329771,268.7258618,71.27849941,207.4564537,179.4423297,163.1622239,412.6906498,97.090417,509.2639297,646.6201645,62.39870613,402.7843747,374.5273459,288.5986134,504.2000518,183.834114,135.162498,658.495996,303.2886968,359.2805943,364.0353746,373.5079445,385.1911873,384.9564231,406.134126,606.3623533,390.3016095,104.7650837,159.4555965,432.8713849,415.4993925,513.1889196,105.4535528,388.5475922,162.3570241,140.6185266,344.202201,316.6396759,596.828957,103.4581781,279.2341161,74.60135365,241.3187849,732.0466678,441.7188326,89.60149097,198.5271455,273.7629735,600.9820179,132.1998632,92.20401405,503.9665605,220.5260783
"ERBB2",37.24110156,48.36722256,24.87955662,80.0171067,22.35065755,69.18613222,49.875673,42.80595793,17.14410396,34.78846257,53.86892663,34.85020792,44.66192668,53.86200224,33.00333882,28.46662605,29.49619891,45.98092947,69.85983913,35.70836173,42.40512534,32.50151535,21.65952471,35.36966703,43.33563208,28.00405257,72.07259272,36.03255206,63.65467077,30.53787794,34.90934155,30.76414541,29.49276089,29.09440775,47.66231337,51.32552387,35.88798859,32.01950216,27.26545707,36.83570492,23.68001507,44.41617024,42.28445832,34.05620996,84.2506161,39.38971949,31.83902349,35.50358818,65.52132266,50.06992391,36.13475875,59.42846901,37.0221888,46.00296271,45.15792366,36.82389728,73.1404567,60.02668652,58.00475378,46.8487646,54.67135982,19.95364156,47.34026355,100.3398414,25.32167336,37.15382192,32.66183123,19.74265131
"FGF17",49.3486278,43.41163432,52.81219178,51.1720354,60.53409731,45.76345575,53.80620789,43.08740424,52.19102079,62.31063997,46.92123739,55.60839233,65.74004561,74.21361999,68.88538899,48.23541349,49.05835151,50.65031183,57.89565151,86.68497958,48.13273445,54.90575722,48.38913059,57.05661406,46.04694195,48.17808639,50.09944612,59.97892574,51.37684275,50.12860148,52.71355986,52.03991376,49.92538064,47.70748263,53.49226473,47.50285023,63.5380036,47.55027055,61.59075204,54.48439434,55.40490887,60.69221723,72.67423473,41.17692829,79.65696744,55.34038534,54.14046693,64.42216443,63.79104259,170.8860357,57.50931804,57.0886318,56.92139682,57.665456,56.02035634,42.83863206,60.52766388,58.94006611,49.04351448,58.26798535,51.24938469,51.41731223,58.48281223,58.61185936,66.92026639,47.15859481,48.62025507,42.65394386
"FGF9",336.9934726,589.0122963,42.82142802,158.0451657,1332.005302,109.8783454,805.0605725,128.1805773,652.088428,1541.512525,922.9054825,1781.133246,807.3281134,162.6141956,157.2724872,339.4913837,739.2300313,1290.617802,165.8451395,343.591821,402.6061048,476.5043957,354.9599244,545.2058683,469.0363481,50.06857962,363.0521855,406.440349,1250.03575,741.7759413,193.9009621,443.9682539,846.7454033,313.8168554,859.5698377,456.807953,120.3556296,96.63158706,245.1258033,593.8136251,339.0661913,340.0226331,301.8502145,543.6796397,623.9215109,304.2733803,1094.664998,157.510232,936.2357559,116.387251,435.3920113,171.0447812,189.3486766,450.7804164,1397.541475,205.062951,500.090767,258.4809047,397.9794396,391.1968576,400.0729008,521.4464039,637.3550347,176.568796,380.1995761,724.0998207,448.1767562,452.138228
"FOXM1",35.17233929,29.19274018,33.21269905,33.71007863,38.1142962,29.0272211,47.49618808,24.73529966,49.82276187,52.64649486,32.71677802,43.38728029,35.7170251,30.60520294,32.90438433,43.71401684,30.38859586,73.28007944,36.47901569,34.54272729,57.10512528,49.50137779,44.1407693,30.06616422,34.90968685,27.80097982,41.59702997,35.02053707,44.8125335,37.74037465,32.65224434,39.0804383,27.8862962,32.62775286,29.3697822,27.82277391,25.0322595,29.84123848,32.93785945,32.89679482,34.20863997,31.57195934,35.68162872,51.03153897,110.3279511,62.14083886,62.49040161,52.50209111,43.42379852,46.81366072,36.49994599,32.40943088,31.39182144,26.2389075,113.3237653,37.45602296,43.08100953,131.7712142,40.45868833,71.27116707,42.57187754,40.9667431,21.27151102,37.35434729,39.73901231,32.87109587,27.68537475,27.12059555
